CMD:./cbp traces/infra/infra_15_trace.gz
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=  24, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F356A0, theta= 328, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34DA4, theta= 320, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34F04, theta= 261, max bias=  12, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34F04, theta= 320, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34D40, theta= 261, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=  13, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34F40, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34F40, theta= 261, max bias=  28, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=  13, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34DF0, theta= 408, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 269, max bias=  12, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34D40, theta= 261, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
10000000 instrs 
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=  14, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34D40, theta= 261, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=  12, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34F40, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=  13, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F356F0, theta= 349, max bias=  32, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34DF0, theta= 344, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34D40, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34CD8, theta= 320, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34CD8, theta= 261, max bias=  23, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F356B4, theta= 261, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F356B4, theta= 320, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34F40, theta= 261, max bias=  25, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34D40, theta= 261, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB4208, theta= 424, max bias=  12, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB4234, theta= 384, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F356A0, theta= 357, max bias=  18, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34D40, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F356F0, theta= 344, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F356A0, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
15000000 instrs 
L_PERCEP PC=0x400007F34F04, theta= 261, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34F04, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=  11, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34D40, theta= 261, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=  13, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34F40, theta= 261, max bias=  15, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F35654, theta= 261, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F35654, theta= 320, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34E14, theta= 365, max bias=  30, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=  11, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB7A6C, theta= 312, max bias=  22, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB7A6C, theta= 261, max bias=  32, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB79E0, theta= 328, max bias=  21, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB7A6C, theta= 261, max bias=  17, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB7A6C, theta= 312, max bias=  25, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB79E0, theta= 309, max bias=  37, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB7A6C, theta= 261, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB7A6C, theta= 312, max bias=  24, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB79E0, theta= 320, max bias=  21, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB7A6C, theta= 312, max bias=  27, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB7A6C, theta= 261, max bias=  12, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34DF0, theta= 357, max bias=  23, baseline_comp=  0, stable_cnt= 40, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007F34DA4, theta= 373, max bias=  21, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007F34D40, theta= 261, max bias=   4, baseline_comp=  0, stable_cnt=208, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007F34EF8, theta= 421, max bias=  47, baseline_comp=  4, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007EB4234, theta= 333, max bias=  21, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007EB42B4, theta= 293, max bias=   4, baseline_comp= 14, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007EB4164, theta= 445, max bias=  38, baseline_comp= 11, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007EB4208, theta= 349, max bias=  49, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007F356A0, theta= 301, max bias=   7, baseline_comp=  5, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007F35710, theta= 373, max bias=  18, baseline_comp=  6, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007F356F0, theta= 341, max bias=  19, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007F35718, theta= 261, max bias=  16, baseline_comp=  0, stable_cnt=204, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=161, grace_period=511, time_alive=65535
G_PERCEP PC=0x400007F34F40, theta= 320, max bias=   8, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=65535
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   6, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=65535
G_PERCEP PC=0x400007EB42B4, theta= 344, max bias=  15, baseline_comp= 21, stable_cnt=  0, grace_period=511, time_alive=65535
G_PERCEP PC=0x400007EB4164, theta= 656, max bias=  41, baseline_comp=  0, stable_cnt=  7, grace_period=511, time_alive=65535
G_PERCEP PC=0x400007F35718, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=204, grace_period=511, time_alive=65535
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=161, grace_period=511, time_alive=65535
G_PERCEP PC=0x400007EB7A6C, theta= 312, max bias=  28, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB7A6C, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB7A6C, theta= 312, max bias=  24, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB7A6C, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB79E0, theta= 373, max bias=  27, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB79E0, theta= 320, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB7A6C, theta= 312, max bias=  28, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB7A6C, theta= 261, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=  11, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 269, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB4164, theta= 320, max bias=  12, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34D40, theta= 269, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34DA4, theta= 320, max bias=   2, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
20000000 instrs 
L_PERCEP PC=0x400007EB3E58, theta= 277, max bias=  14, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34DF0, theta= 328, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F35710, theta= 320, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 269, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB4164, theta= 285, max bias=  32, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 269, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F356F0, theta= 344, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34D40, theta= 261, max bias=   2, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34E14, theta= 328, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F356A0, theta= 344, max bias=  13, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 269, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F34F40, theta= 261, max bias=  14, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB4164, theta= 320, max bias=  12, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB79D0, theta= 669, max bias=  43, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007EB79E0, theta= 309, max bias=  17, baseline_comp=  0, stable_cnt=  1, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007EB7AFC, theta= 493, max bias=   9, baseline_comp= 10, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x400007EB7A6C, theta= 261, max bias=   1, baseline_comp=  1, stable_cnt=  0, grace_period= 62, time_alive=65535
L_PERCEP PC=0x400007F34D40, theta= 261, max bias=   2, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB3E58, theta= 261, max bias=  11, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007EB3E58, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F3563C, theta= 320, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007EB4164, theta= 277, max bias=  22, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007F3563C, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007F34D40, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007DB6064, theta= 320, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007DB6104, theta= 320, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007DB6064, theta= 261, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007DB60BC, theta= 328, max bias=   1, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007DB6064, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007DB6064, theta= 261, max bias=  11, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007DB6128, theta= 336, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007DB6064, theta= 261, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007DB6064, theta= 320, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007DB60BC, theta= 317, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007DB6064, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007DB6104, theta= 333, max bias=  25, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007DB6064, theta= 261, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007DB60BC, theta= 320, max bias=   1, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
25000000 instrs 
G_PERCEP PC=0x400007DB6104, theta= 320, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007DB6064, theta= 261, max bias=   2, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400007DB6064, theta= 320, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400007DB6128, theta= 325, max bias=  13, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
