CMD:./cbp traces/infra/infra_6_trace.gz
L_PERCEP PC=0x400000124280, theta= 261, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
40000000 instrs 
L_PERCEP PC=0x4000006B3724, theta= 261, max bias=  14, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006B3724, theta= 320, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x400000241664, theta= 320, max bias=   3, baseline_comp=  0, stable_cnt=  0, grace_period=450, time_alive=65535
G_PERCEP PC=0x400000124288, theta= 320, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400000492200, theta= 245, max bias=  26, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x40000012429C, theta= 277, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x40000012429C, theta= 312, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x40000012E840, theta= 261, max bias=  18, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x4000004920DC, theta= 253, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000004920DC, theta= 320, max bias=  25, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400000490DB0, theta= 229, max bias=  29, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006B22F8, theta= 312, max bias=  33, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400000124288, theta= 261, max bias=  15, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x4000006BEF5C, theta= 261, max bias=  25, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006BEF5C, theta= 304, max bias=  18, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x4000006BEEF8, theta= 253, max bias=  19, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
45000000 instrs 
L_PERCEP PC=0x4000006BEFDC, theta= 261, max bias=   2, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006BEFDC, theta= 320, max bias=  47, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x006D33EC, theta= 312, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x006D33EC, theta= 245, max bias=  37, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x006B73E0, theta= 253, max bias=  36, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x006D3408, theta= 312, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x006B73E0, theta= 320, max bias=  15, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x006D3408, theta= 245, max bias=  17, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x400000241664, theta= 253, max bias=  22, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
50000000 instrs 
L_PERCEP PC=0x4000006B001C, theta= 261, max bias=  33, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x4000006B0164, theta= 261, max bias=   4, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x006B79C0, theta= 320, max bias=  16, baseline_comp=  0, stable_cnt=221, grace_period=511, time_alive=65535
G_PERCEP PC=0x006CD7C4, theta= 312, max bias=  11, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=65535
G_PERCEP PC=0x006E1FD4, theta= 312, max bias=   3, baseline_comp=  0, stable_cnt= 19, grace_period=511, time_alive=65535
G_PERCEP PC=0x006E1E98, theta= 320, max bias=  10, baseline_comp=  3, stable_cnt=  0, grace_period= 55, time_alive=65535
L_PERCEP PC=0x4000006AFF94, theta= 277, max bias=  17, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x006F6284, theta= 320, max bias=   5, baseline_comp=  0, stable_cnt=  2, grace_period=511, time_alive=65535
G_PERCEP PC=0x006F62FC, theta= 320, max bias=   1, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=65535
55000000 instrs 
G_PERCEP PC=0x006E2C04, theta= 320, max bias=  17, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x4000006AFE94, theta= 261, max bias=  18, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006AFE94, theta= 320, max bias=  28, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x006FD27C, theta= 296, max bias=   2, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=65535
G_PERCEP PC=0x4000006B2304, theta= 320, max bias=  11, baseline_comp=  1, stable_cnt=  0, grace_period=205, time_alive=65535
G_PERCEP PC=0x400000241664, theta= 312, max bias=  14, baseline_comp=  0, stable_cnt= 23, grace_period=511, time_alive=65535
G_PERCEP PC=0x4000006BEEF8, theta= 328, max bias=   1, baseline_comp=  1, stable_cnt=  9, grace_period=511, time_alive=65535
G_PERCEP PC=0x4000006BEF10, theta= 320, max bias=  16, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=65535
G_PERCEP PC=0x4000006BEF78, theta= 320, max bias=   2, baseline_comp=  1, stable_cnt=  0, grace_period= 28, time_alive=65535
G_PERCEP PC=0x400000492200, theta= 320, max bias=  23, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=65535
G_PERCEP PC=0x400000124280, theta= 320, max bias=  10, baseline_comp=  0, stable_cnt=  0, grace_period=182, time_alive=65535
L_PERCEP PC=0x4000006AFFB4, theta= 261, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006AFFB4, theta= 320, max bias=  23, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006B001C, theta= 312, max bias=  29, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006AFF94, theta= 312, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x4000006AFE94, theta= 261, max bias=  12, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006AFE94, theta= 320, max bias=  17, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x4000006AFE94, theta= 269, max bias=  23, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006AFE94, theta= 320, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x4000006AFFB4, theta= 261, max bias=  25, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006AFFB4, theta= 320, max bias=   1, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006B0164, theta= 320, max bias=  11, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x006B79C0, theta= 253, max bias=  18, baseline_comp=  0, stable_cnt=221, grace_period=511, time_alive=65535
L_PERCEP PC=0x006B7A14, theta= 237, max bias=  23, baseline_comp=  4, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x006CD7C4, theta= 245, max bias=  30, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=65535
L_PERCEP PC=0x4000001655E4, theta= 245, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000001655E4, theta= 312, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x006FB464, theta= 320, max bias=   0, baseline_comp=  0, stable_cnt=  0, grace_period=  0, time_alive=65535
L_PERCEP PC=0x006CDD68, theta= 253, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x006CDD68, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
60000000 instrs 
L_PERCEP PC=0x006CDE8C, theta= 253, max bias=  44, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x006CDD90, theta= 328, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x006CDD90, theta= 245, max bias=  19, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x4000006AFE94, theta= 261, max bias=   1, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006AFE94, theta= 320, max bias=  14, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006AFFB4, theta= 304, max bias=  24, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x4000006AFFB4, theta= 261, max bias=  19, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x4000006AFE94, theta= 304, max bias=  25, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x4000006AFE94, theta= 253, max bias=  38, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
EOF
======== Predictor Memory ========
TAGE-SC-L (bits) = 1305275
TAGE-SC-L (KBytes) = 159.335327
H2P_ID_MEM_BITS = 19456
H2P_ID_MEM (KBytes) = 2.375000
L_PERCEP_MEM_BITS = 176320
L_PERCEP_MEM (KBytes) = 21.523438
G_PERCEP_MEM_BITS = 33184
G_PERCEP_MEM (KBytes) = 4.050781
Total Memory (bits) = 1534235
Total Memory (KBytes) = 187.284546
======== Runtime Statistics ========
COL h2p_insert_cnt = 82
COL h2p_with_tage = 9123178
COL h2p_with_lhist_percep = 11
COL h2p_with_ghist_percep = 0
COL filtered_updates = 0
COL lhist_percep_evictions = 64
COL ghist_percep_evictions = 61
COL lhist_percep_stale_evictions = 4
COL ghist_percep_stale_evictions = 17
======== End of Statistics ========
WINDOW_SIZE = 1024
FETCH_WIDTH = 16
FETCH_NUM_BRANCH = 16
FETCH_STOP_AT_INDIRECT = 1
FETCH_STOP_AT_TAKEN = 1
FETCH_MODEL_ICACHE = 1
PERFECT_BRANCH_PRED = 0
PERFECT_INDIRECT_PRED = 1
PIPELINE_FILL_LATENCY = 10
NUM_LDST_LANES = 8
NUM_ALU_LANES = 16
MEMORY HIERARCHY CONFIGURATION---------------------
STRIDE Prefetcher = 1
PERFECT_CACHE = 0
WRITE_ALLOCATE = 1
Within-pipeline factors:
	AGEN latency = 1 cycle
	Store Queue (SQ): SQ size = window size, oracle memory disambiguation, store-load forwarding = 1 cycle after store's or load's agen.
	* Note: A store searches the L1$ at commit. The store is released
	* from the SQ and window, whether it hits or misses. Store misses
	* are buffered until the block is allocated and the store is
	* performed in the L1$. While buffered, conflicting loads get
	* the store's data as they would from the SQ.
I$: 128 KB, 8-way set-assoc., 64B block size
L1$: 128 KB, 8-way set-assoc., 64B block size, 3-cycle search latency
L2$: 4 MB, 8-way set-assoc., 64B block size, 12-cycle search latency
L3$: 32 MB, 16-way set-assoc., 128B block size, 50-cycle search latency
Main Memory: 150-cycle fixed search time
---------------------------STORE QUEUE MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)---------------------------
Number of loads: 17254842
Number of loads that miss in SQ: 12139661 (70.36%)
Number of PFs issued to the memory system 1852500
---------------------------------------------------------------------------------------------------------------------------------------
------------------------MEMORY HIERARCHY MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)-------------------------
I$:
	accesses   = 75302050
	misses     = 17636
	miss ratio = 0.02%
	pf accesses   = 0
	pf misses     = 0
	pf miss ratio = nan%
L1$:
	accesses   = 29340899
	misses     = 530866
	miss ratio = 1.81%
	pf accesses   = 1852500
	pf misses     = 51231
	pf miss ratio = 2.77%
L2$:
	accesses   = 548502
	misses     = 259516
	miss ratio = 47.31%
	pf accesses   = 51231
	pf misses     = 41342
	pf miss ratio = 80.70%
L3$:
	accesses   = 259516
	misses     = 79950
	miss ratio = 30.81%
	pf accesses   = 41342
	pf misses     = 16918
	pf miss ratio = 40.92%
---------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------Prefetcher (Full Simulation i.e. No Warmup)----------------------------------------------
Num Trainings :17254842
Num Prefetches generated :1874798
Num Prefetches issued :3211170
Num Prefetches filtered by PF queue :270586
Num untimely prefetches dropped from PF queue :22298
Num prefetches not issued LDST contention :1358670
Num prefetches not issued stride 0 :5546092
---------------------------------------------------------------------------------------------------------------------------------------

-------------------------------ILP LIMIT STUDY (Full Simulation i.e. Counts Not Reset When Warmup Ends)--------------------------------
instructions = 64718349
cycles       = 15319103
CycWP        = 3065469
IPC          = 4.2247

---------------------------------------------------------------------------------------------------------------------------------------

-----------------------------------------------BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)----------------------------------------------
Type                   NumBr     MispBr        mr     mpki
CondDirect          9187928      78179   0.8509%   1.2080
JumpDirect          2345056          0   0.0000%   0.0000
JumpIndirect         933841          0   0.0000%   0.0000
JumpReturn          1333400          0   0.0000%   0.0000
Not control        61501825          0   0.0000%   0.0000
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 10M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    10718349      3012056   3.5585    1869033      22532   0.6205       0.0075   1.2055%   2.1022     992663    44.0557    92.6134
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Last 25M instructions)-----------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    25718349      6566502   3.9166    4120305      34129   0.6275       0.0052   0.8283%   1.3270    1643854    48.1659    63.9176
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

---------------------------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (50 Perc instructions)---------------------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    32718349      7707024   4.2453    5004718      38025   0.6494       0.0049   0.7598%   1.1622    1756754    46.2000    53.6932
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------DIRECT CONDITIONAL BRANCH PREDICTION MEASUREMENTS (Full Simulation i.e. Counts Not Reset When Warmup Ends)-------------------------------------
       Instr       Cycles      IPC      NumBr     MispBr BrPerCyc MispBrPerCyc        MR     MPKI      CycWP   CycWPAvg   CycWPPKI
    64718349     15319103   4.2247    9187928      78179   0.5998       0.0051   0.8509%   1.2080    3065469    39.2109    47.3663
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Read 64718349 instrs 
G_PERCEP PC=0x4000006AFE94, theta= 320, max bias=  24, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=  1
G_PERCEP PC=0x006CDE8C, theta= 320, max bias=   4, baseline_comp=  7, stable_cnt=  0, grace_period=511, time_alive=18006
G_PERCEP PC=0x006CDEA4, theta= 320, max bias=   1, baseline_comp=  8, stable_cnt=  0, grace_period=511, time_alive=18004
G_PERCEP PC=0x4000006B014C, theta= 312, max bias=  10, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=  0
L_PERCEP PC=0x006CDEA4, theta= 261, max bias=  15, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=14062
L_PERCEP PC=0x400000124280, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=  0, grace_period=182, time_alive=46864
L_PERCEP PC=0x4000006AFE94, theta= 261, max bias=   8, baseline_comp=  1, stable_cnt= 23, grace_period=511, time_alive=  0
L_PERCEP PC=0x006FD27C, theta= 253, max bias=  21, baseline_comp=  4, stable_cnt=  0, grace_period=511, time_alive=47094
L_PERCEP PC=0x4000006BEF78, theta= 261, max bias=   5, baseline_comp=  1, stable_cnt=  0, grace_period= 28, time_alive=46888
L_PERCEP PC=0x006E1E98, theta= 261, max bias=  11, baseline_comp=  7, stable_cnt=  0, grace_period=115, time_alive=63880
L_PERCEP PC=0x006E2C04, theta= 261, max bias=  35, baseline_comp=  3, stable_cnt=  0, grace_period=511, time_alive=55593
L_PERCEP PC=0x006F6284, theta= 261, max bias=  29, baseline_comp=  6, stable_cnt=  0, grace_period=511, time_alive=58103
L_PERCEP PC=0x006E1FD4, theta= 253, max bias=  16, baseline_comp=  0, stable_cnt= 47, grace_period=511, time_alive=63882
L_PERCEP PC=0x006F62FC, theta= 261, max bias=  36, baseline_comp=  1, stable_cnt=  0, grace_period=511, time_alive=58102
L_PERCEP PC=0x4000006BEF10, theta= 261, max bias=  23, baseline_comp=  0, stable_cnt=  9, grace_period=511, time_alive=  2
L_PERCEP PC=0x006FB464, theta= 253, max bias=   5, baseline_comp=  2, stable_cnt=  0, grace_period=511, time_alive=31347
L_PERCEP PC=0x4000006B22F8, theta= 253, max bias=  44, baseline_comp=  0, stable_cnt=175, grace_period=511, time_alive=47068
